Benchmark,Matrix,Configuration,Elements,Time estimate (ns),Throughput (GFLOP/s),nnz,Samples
spmv,coPapersDBLP,petsc/csr,60982916,25337864.8,2.4067898570522006,30491458,2
spmv,coPapersDBLP,psblas/csc,60982916,31284750.3,1.9492856876022435,30491458,2
spmv,coPapersDBLP,psblas/csr,60982916,30011228.1,2.0320033487733213,30491458,2
spmv,consph,eigen/csc_map,12020960,4015941.775,2.9933103300532786,6010480,2
spmv,consph,eigen/csr_map,12020960,3668642.575,3.276677886779417,6010480,2
spmv,consph,faer/csc,12020960,3866910.975,3.1086725496699597,6010480,2
spmv,consph,faer/csr,12020960,2815407.1375,4.269705734522739,6010480,2
spmv,consph,mkl/csc_ie,12020960,3873157.75,3.103658765254268,6010480,2
spmv,consph,mkl/csr_ie,12020960,3183805.1875,3.7756581486818748,6010480,2
spmv,consph,petsc/csr,12020960,3253033.125,3.6953082056303987,6010480,2
spmv,consph,psblas/csc,12020960,4006186.45,3.0005992357145534,6010480,2
spmv,consph,psblas/csr,12020960,3885690.0,3.093648747069375,6010480,2
spmv,delaunay_n22,eigen/csc_map,50331476,62091530.6,0.8106013092870994,25165738,2
spmv,delaunay_n22,eigen/csr_map,50331476,56207915.4,0.8954517462855418,25165738,2
spmv,delaunay_n22,faer/csc,50331476,42574120.2,1.182208246783688,25165738,2
spmv,delaunay_n22,faer/csr,50331476,44817058.8,1.1230428177941922,25165738,2
spmv,delaunay_n22,mkl/csc_ie,50331476,56675177.1,0.8880691437662925,25165738,2
spmv,delaunay_n22,mkl/csr_ie,50331476,26409459.0,1.9058124590889953,25165738,2
spmv,delaunay_n22,petsc/csr,50331476,26755386.8,1.8811716824067741,25165738,2
spmv,delaunay_n22,psblas/csc,50331476,45794587.2,1.099070415902777,25165738,2
spmv,delaunay_n22,psblas/csr,50331476,42548056.6,1.1829324303380757,25165738,2
spmv,inline_1,eigen/csc_map,73632684,33510234.8,2.1973192500578955,36816342,2
spmv,inline_1,eigen/csr_map,73632684,30704144.4,2.3981350217985553,36816342,2
spmv,inline_1,faer/csc,73632684,32323818.2,2.277969871764716,36816342,2
spmv,inline_1,faer/csr,73632684,26441633.2,2.784725264247293,36816342,2
spmv,inline_1,mkl/csc_ie,73632684,31270297.2,2.3547164751603322,36816342,2
spmv,inline_1,mkl/csr_ie,73632684,25803487.1,2.8535943112898097,36816342,2
spmv,inline_1,petsc/csr,73632684,27495897.1,2.677951686108106,36816342,2
spmv,inline_1,psblas/csc,73632684,31579542.6,2.331657710583813,36816342,2
spmv,inline_1,psblas/csr,73632684,30255258.75,2.4337152297532407,36816342,2
spmv,kron_g500-logn18,eigen/csc_map,42331816,28727582.2,1.4735599990729467,21165908,2
spmv,kron_g500-logn18,eigen/csr_map,42331816,25118090.0,1.6853119007058257,21165908,2
spmv,kron_g500-logn18,faer/csc,42331816,28479953.1,1.4863723915331866,21165908,2
spmv,kron_g500-logn18,faer/csr,42331816,22441709.3,1.8863008799423313,21165908,2
spmv,kron_g500-logn18,mkl/csc_ie,42331816,28757957.2,1.4720035816730404,21165908,2
spmv,kron_g500-logn18,mkl/csr_ie,42331816,21983494.7,1.9256181320434005,21165908,2
spmv,kron_g500-logn18,petsc/csr,42331816,21836454.9,1.93858463719768,21165908,2
spmv,kron_g500-logn18,psblas/csc,42331816,29555414.6,1.432286319542951,21165908,2
spmv,kron_g500-logn18,psblas/csr,42331816,26487472.5,1.5981825370465226,21165908,2
spmv,mac_econ_fwd500,eigen/csc_map,2546778,817382.9375,3.115770935700502,1273389,2
spmv,mac_econ_fwd500,eigen/csr_map,2546778,810319.76875,3.1429296164508758,1273389,2
spmv,mac_econ_fwd500,faer/csc,2546778,710859.65625,3.582673425912261,1273389,2
spmv,mac_econ_fwd500,faer/csr,2546778,675168.765625,3.7720613417927615,1273389,2
spmv,mac_econ_fwd500,mkl/csc_ie,2546778,988950.9,2.575231995845294,1273389,2
spmv,mac_econ_fwd500,mkl/csr_ie,2546778,628259.9375,4.053701100430265,1273389,2
spmv,mac_econ_fwd500,petsc/csr,2546778,650466.721875,3.915308676605001,1273389,2
spmv,mac_econ_fwd500,psblas/csc,2546778,786783.54375,3.2369487392446494,1273389,2
spmv,mac_econ_fwd500,psblas/csr,2546778,646201.61171875,3.941150801568178,1273389,2
spmv,pdb1HYS,eigen/csc_map,8689530,2228819.9375,3.8987133297752092,4344765,2
spmv,pdb1HYS,eigen/csr_map,8689530,2009962.7625,4.323229346394421,4344765,2
spmv,pdb1HYS,faer/csc,8689530,2085404.15,4.166832601728542,4344765,2
spmv,pdb1HYS,faer/csr,8689530,1616240.8875,5.3763829805351335,4344765,2
spmv,pdb1HYS,mkl/csc_ie,8689530,2200590.2,3.948727027867342,4344765,2
spmv,pdb1HYS,mkl/csr_ie,8689530,1437890.125,6.043250349187842,4344765,2
spmv,pdb1HYS,petsc/csr,8689530,1588308.2,5.470934419402985,4344765,2
spmv,pdb1HYS,psblas/csc,8689530,2309433.5375,3.762623976356799,4344765,2
spmv,pdb1HYS,psblas/csr,8689530,2344212.125,3.7068019175099183,4344765,2
spmv,preferentialAttachment,eigen/csc_map,1999940,1113223.903125,1.7965298754238423,999970,2
spmv,preferentialAttachment,eigen/csr_map,1999940,1083025.2,1.8466236981374022,999970,2
spmv,preferentialAttachment,faer/csc,1999940,1142977.975,1.7497625008915854,999970,2
spmv,preferentialAttachment,faer/csr,1999940,1120634.921875,1.784649006523715,999970,2
spmv,preferentialAttachment,mkl/csc_ie,1999940,1336179.05,1.4967604828110423,999970,2
spmv,preferentialAttachment,mkl/csr_ie,1999940,638576.2625,3.1318733837213375,999970,2
spmv,preferentialAttachment,petsc/csr,1999940,662811.578125,3.0173582749678975,999970,2
spmv,preferentialAttachment,psblas/csc,1999940,1142491.6375,1.7505073423349236,999970,2
spmv,preferentialAttachment,psblas/csr,1999940,1047812.025,1.9086820462859262,999970,2
spmv,rajat31,eigen/csc_map,40632506,34028497.5,1.1940728796503577,20316253,2
spmv,rajat31,eigen/csr_map,40632506,37157559.4,1.0935192368958442,20316253,2
spmv,rajat31,faer/csc,40632506,21133454.35,1.9226627756668653,20316253,2
spmv,rajat31,faer/csr,40632506,20559243.7,1.9763619028456771,20316253,2
spmv,rajat31,mkl/csc_ie,40632506,36749582.4,1.1056589856650996,20316253,2
spmv,rajat31,mkl/csr_ie,40632506,20421149.7,1.9897266606884527,20316253,2
spmv,rajat31,petsc/csr,40632506,20544337.3,1.9777958960983373,20316253,2
spmv,rajat31,psblas/csc,40632506,22011890.8,1.845934380157837,20316253,2
spmv,rajat31,psblas/csr,40632506,19756034.9,2.0567136171641405,20316253,2
spmv,rgg_n_2_20_s0,eigen/csc_map,27566480,16650869.8,1.6555579576990023,13783240,2
spmv,rgg_n_2_20_s0,eigen/csr_map,27566480,16941882.8,1.6271202159419966,13783240,2
spmv,rgg_n_2_20_s0,faer/csc,27566480,16283934.4,1.6928636116342988,13783240,2
spmv,rgg_n_2_20_s0,faer/csr,27566480,17337845.5,1.5899599520597874,13783240,2
spmv,rgg_n_2_20_s0,mkl/csc_ie,27566480,18589135.0,1.4829350585705037,13783240,2
spmv,rgg_n_2_20_s0,mkl/csr_ie,27566480,11651917.05,2.365832152915987,13783240,2
spmv,rgg_n_2_20_s0,petsc/csr,27566480,12020659.6,2.2932585163629455,13783240,2
spmv,rgg_n_2_20_s0,psblas/csc,27566480,17651789.2,1.561681917207577,13783240,2
spmv,rgg_n_2_20_s0,psblas/csr,27566480,17138064.5,1.6084943547738426,13783240,2
spmv,roadNet-CA,eigen/csc_map,11066428,13119535.7,0.8435075945561092,5533214,2
spmv,roadNet-CA,eigen/csr_map,11066428,13333395.0,0.8299782613505411,5533214,2
spmv,roadNet-CA,faer/csc,11066428,11844949.7,0.9342739547471444,5533214,2
spmv,roadNet-CA,faer/csr,11066428,14025449.95,0.7890248112860009,5533214,2
spmv,roadNet-CA,mkl/csc_ie,11066428,15497483.9,0.7140790125292531,5533214,2
spmv,roadNet-CA,mkl/csr_ie,11066428,10726052.25,1.0317335532278429,5533214,2
spmv,roadNet-CA,petsc/csr,11066428,7219372.05,1.5328795805723852,5533214,2
spmv,roadNet-CA,psblas/csc,11066428,11586779.65,0.9550909169140882,5533214,2
spmv,roadNet-CA,psblas/csr,11066428,11013367.75,1.004817804254289,5533214,2
spmv,shipsec1,eigen/csc_map,15626808,5968898.55,2.618038800475173,7813404,2
spmv,shipsec1,eigen/csr_map,15626808,5697683.375,2.7426599499309665,7813404,2
spmv,shipsec1,faer/csc,15626808,5629987.825,2.775637973959561,7813404,2
spmv,shipsec1,faer/csr,15626808,5178899.25,3.017399498551743,7813404,2
spmv,shipsec1,mkl/csc_ie,15626808,5731317.85,2.7265645369851548,7813404,2
spmv,shipsec1,mkl/csr_ie,15626808,4959527.9,3.1508660330351197,7813404,2
spmv,shipsec1,petsc/csr,15626808,5343544.275,2.924427532697855,7813404,2
