kernel,matrix,backend,format,m,saad_tol,saad_estimate,rel_l2_vs_faer,norm_y,status
lanczos_two_pass,coPapersCiteseer,eigen,csr,10,1.00000000000000004e-10,1.54741866408138628e-11,5.71408407553250321e-16,3.80226799160724681e2,ok
lanczos_two_pass,coPapersCiteseer,eigen,csc,10,1.00000000000000004e-10,1.54741866408138628e-11,5.91126094955799844e-16,3.80226799160724568e2,ok
lanczos_two_pass,coPapersCiteseer,petsc,csr,10,1.00000000000000004e-10,1.54741866408138628e-11,4.89803781854176834e-16,3.80226799160724340e2,ok
lanczos_two_pass,coPapersCiteseer,psblas,csr,10,1.00000000000000004e-10,1.54741866408138628e-11,3.83962406429106029e-16,3.80226799160724454e2,ok
lanczos_two_pass,coPapersCiteseer,psblas,csc,10,1.00000000000000004e-10,1.54741866408138628e-11,1.08550608493033715e-15,3.80226799160724227e2,ok
lanczos_one_pass,preferentialAttachment,faer,csc,12,1.00000000000000004e-10,1.48569196459256781e-11,0.00000000000000000e0,1.83220666534761079e2,ok
lanczos_one_pass,preferentialAttachment,faer,csr,12,1.00000000000000004e-10,1.48569196459256781e-11,1.16449688612608401e-15,1.83220666534761079e2,ok
lanczos_one_pass,preferentialAttachment,eigen,csr,12,1.00000000000000004e-10,1.48569196459256781e-11,1.73632933264369267e-15,1.83220666534761307e2,ok
lanczos_one_pass,preferentialAttachment,eigen,csc,12,1.00000000000000004e-10,1.48569196459256781e-11,1.54434998596693634e-15,1.83220666534761278e2,ok
lanczos_one_pass,preferentialAttachment,petsc,csr,12,1.00000000000000004e-10,1.48569196459256781e-11,7.50071091014188747e-16,1.83220666534761136e2,ok
lanczos_one_pass,preferentialAttachment,psblas,csr,12,1.00000000000000004e-10,1.48569196459256781e-11,9.15102686288441319e-16,1.83220666534761165e2,ok
lanczos_one_pass,preferentialAttachment,psblas,csc,12,1.00000000000000004e-10,1.48569196459256781e-11,1.01354271784031558e-15,1.83220666534761136e2,ok
lanczos_two_pass,preferentialAttachment,faer,csc,12,1.00000000000000004e-10,1.48569196459256781e-11,0.00000000000000000e0,1.83220666534761079e2,ok
lanczos_two_pass,preferentialAttachment,faer,csr,12,1.00000000000000004e-10,1.48569196459256781e-11,1.16479886681035898e-15,1.83220666534761079e2,ok
lanczos_two_pass,preferentialAttachment,eigen,csr,12,1.00000000000000004e-10,1.48569196459256781e-11,1.76824537287957278e-15,1.83220666534761307e2,ok
lanczos_two_pass,preferentialAttachment,eigen,csc,12,1.00000000000000004e-10,1.48569196459256781e-11,1.50806008848972272e-15,1.83220666534761278e2,ok
lanczos_two_pass,preferentialAttachment,petsc,csr,12,1.00000000000000004e-10,1.48569196459256781e-11,7.63121269310694950e-16,1.83220666534761136e2,ok
lanczos_two_pass,preferentialAttachment,psblas,csr,12,1.00000000000000004e-10,1.48569196459256781e-11,9.22745258974923888e-16,1.83220666534761165e2,ok
lanczos_two_pass,preferentialAttachment,psblas,csc,12,1.00000000000000004e-10,1.48569196459256781e-11,1.02231771445055940e-15,1.83220666534761136e2,ok
lanczos_one_pass,smallworld,faer,csc,12,1.00000000000000004e-10,1.90353419333987378e-11,0.00000000000000000e0,1.97134040692562650e2,ok
lanczos_one_pass,smallworld,faer,csr,12,1.00000000000000004e-10,1.90353419333987378e-11,2.25039685473593810e-15,1.97134040692563019e2,ok
lanczos_one_pass,smallworld,eigen,csr,12,1.00000000000000004e-10,1.90353419333987378e-11,5.06120591257480689e-16,1.97134040692562763e2,ok
lanczos_one_pass,smallworld,eigen,csc,12,1.00000000000000004e-10,1.90353419333987378e-11,1.06937250742765929e-15,1.97134040692562820e2,ok
lanczos_one_pass,smallworld,petsc,csr,12,1.00000000000000004e-10,1.90353419333987378e-11,9.56518201456498481e-16,1.97134040692562792e2,ok
lanczos_one_pass,smallworld,psblas,csr,12,1.00000000000000004e-10,1.90353419333987378e-11,8.99399708253693914e-16,1.97134040692562792e2,ok
lanczos_one_pass,smallworld,psblas,csc,12,1.00000000000000004e-10,1.90353419333987378e-11,1.10942190447155948e-15,1.97134040692562792e2,ok
lanczos_two_pass,smallworld,faer,csc,12,1.00000000000000004e-10,1.90353419333987378e-11,0.00000000000000000e0,1.97134040692562650e2,ok
lanczos_two_pass,smallworld,faer,csr,12,1.00000000000000004e-10,1.90353419333987378e-11,2.25051208786462806e-15,1.97134040692563019e2,ok
lanczos_two_pass,smallworld,eigen,csr,12,1.00000000000000004e-10,1.90353419333987378e-11,5.10827895807475995e-16,1.97134040692562792e2,ok
lanczos_two_pass,smallworld,eigen,csc,12,1.00000000000000004e-10,1.90353419333987378e-11,1.04994673935553183e-15,1.97134040692562792e2,ok
lanczos_two_pass,smallworld,petsc,csr,12,1.00000000000000004e-10,1.90353419333987378e-11,9.31878038519485403e-16,1.97134040692562763e2,ok
lanczos_two_pass,smallworld,psblas,csr,12,1.00000000000000004e-10,1.90353419333987378e-11,8.95769136872384745e-16,1.97134040692562792e2,ok
lanczos_two_pass,smallworld,psblas,csc,12,1.00000000000000004e-10,1.90353419333987378e-11,1.12582812186944705e-15,1.97134040692562792e2,ok
lanczos_one_pass,rgg_n_2_20_s0,faer,csc,11,1.00000000000000004e-10,4.89875904010562663e-11,0.00000000000000000e0,6.00968293783645436e2,ok
lanczos_one_pass,rgg_n_2_20_s0,faer,csr,11,1.00000000000000004e-10,4.89875904010562663e-11,6.63408143332265122e-16,6.00968293783645208e2,ok
lanczos_one_pass,rgg_n_2_20_s0,eigen,csr,11,1.00000000000000004e-10,4.89875904010562663e-11,1.11411121779606053e-15,6.00968293783645095e2,ok
lanczos_one_pass,rgg_n_2_20_s0,eigen,csc,11,1.00000000000000004e-10,4.89875904010562663e-11,1.60945049795208027e-15,6.00968293783644640e2,ok
lanczos_one_pass,rgg_n_2_20_s0,petsc,csr,11,1.00000000000000004e-10,4.89875904010562663e-11,9.35625935109104711e-16,6.00968293783645549e2,ok
lanczos_one_pass,rgg_n_2_20_s0,psblas,csr,11,1.00000000000000004e-10,4.89875904010562663e-11,6.93238463479829912e-16,6.00968293783645322e2,ok
lanczos_one_pass,rgg_n_2_20_s0,psblas,csc,11,1.00000000000000004e-10,4.89875904010562663e-11,7.06481572529754460e-16,6.00968293783645436e2,ok
lanczos_two_pass,rgg_n_2_20_s0,faer,csc,11,1.00000000000000004e-10,4.89875904010562663e-11,0.00000000000000000e0,6.00968293783645436e2,ok
lanczos_two_pass,rgg_n_2_20_s0,faer,csr,11,1.00000000000000004e-10,4.89875904010562663e-11,6.63372679357717221e-16,6.00968293783645208e2,ok
lanczos_two_pass,rgg_n_2_20_s0,eigen,csr,11,1.00000000000000004e-10,4.89875904010562663e-11,1.09758089975754578e-15,6.00968293783645208e2,ok
